created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text,keywords_matched
2024-12-14T06:08:56.000Z,"Buffalo, NY",,,,False,"@aarmlovi @mnolangray Seconding GPE0, the weather’s only shitty for [ORGANIZATION] and half the city is outside the snow band. Somewhat affordable housing, progressive state, and a functional transit system (by American standards).",affordable housing
2024-12-13T23:00:12.000Z,,,,,False,"The [ORGANIZATION] GPE1 police weren't allowed to speak at the buffalo common council meeting. There was no responsibility, zero accountability zero responsibility. Public safety concern was a big issue and it was ignored. There are still homeless people living on FAC0. [URL]",homeless
2024-12-13T20:51:09.000Z,,,,,False,We could house our homeless people if [ORGANIZATION] stopped doing business with flunky developers. Aren't there more than 2 Developers in [ORGANIZATION]?  Both are [ORGANIZATION] left overs. We deserve better leadership and we're paying attention. [URL],homeless
2024-12-13T18:29:48.000Z,"Lexington, Kentucky",,,,False,[URL],
2024-12-13T15:28:46.000Z,,,,,True,RT @wendywi43632298: PERSON0 for Mayor of [ORGANIZATION]. [ORGANIZATION] out [PERSON]  multiple unaccountable billions for refuge.  We h…,
2024-12-12T18:36:52.000Z,Northwest Florida,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-12T16:50:35.000Z,,,,,False,PERSON0 for Mayor of [ORGANIZATION]. [ORGANIZATION] out @GovKathyHochul  multiple unaccountable billions for refuge.  We have homeless Americans on the streets of GPE1 [URL],homeless
2024-12-12T04:30:39.000Z,"New York, USA",,,,False,"I see random homeless people holding the door wide open all the time in the [ORGANIZATION]

@mta is basically free at this point and [ORGANIZATION] is running for Mayor of [ORGANIZATION] [URL]",homeless
2024-12-11T23:52:03.000Z,,,,,True,"RT @UrbanizeLA: FAC0 busway-adjacent site is currently subject of preservation fight

[PERSON]",
2024-12-11T23:14:12.000Z,"Rancho Palos Verdes, CA",,,,True,"RT @UrbanizeLA: FAC0 busway-adjacent site is currently subject of preservation fight

[PERSON]",
2024-12-11T23:10:12.000Z,Los Angeles,,,,False,"FAC0 busway-adjacent site is currently subject of preservation fight

[PERSON]",
2024-12-11T00:31:58.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-10T19:57:34.000Z,"Vestal, N.Y.",,,,True,"RT @UrbanizeLA: FAC0 busway-adjacent site is currently subject of preservation fight

[PERSON]",
2024-12-10T19:38:45.000Z,,,,,False,"[ORGANIZATION] them a home where the buffalo roam and the skies are all cloudy [ORGANIZATION]...  Where seldom is heard a fu#kin, son-bitch word, and and the homeless get everything they don't need.",homeless
2024-12-10T19:15:24.000Z,,,,,True,"RT @UrbanizeLA: FAC0 busway-adjacent site is currently subject of preservation fight

[PERSON]",
2024-12-10T19:00:47.000Z,Los Angeles,,,,False,"FAC0 busway-adjacent site is currently subject of preservation fight

[PERSON]",
