created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-11-27T14:53:17.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-11-27T14:49:08.000Z,"San Antonio, TX",,,,False,,"'PERSON0 IS WORTH A MEAL' 
The burglary suspect who allegedly stabbed an [ORGANIZATION] guard in [LOCATION], says this is what he has to do to eat. [URL] [URL]"
2024-11-27T13:13:00.000Z,,,,,False,homeless,"[ORGANIZATION], [PERSON]   Homeless man stabs [ORGANIZATION] guard over chicken wings, says jail is worth a meal.  [URL]"
2024-11-27T12:46:01.000Z,NY to NC.  Parler Geovanni0718,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-11-27T03:53:05.000Z,"San Antonio, TX",,,,False,,"'PERSON0 IS WORTH A MEAL' 🚔 [URL]
The burglary suspect who allegedly stabbed an [ORGANIZATION] guard in [LOCATION], says this is what he has to do to eat. [URL]"
2024-11-26T23:06:52.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-11-26T20:18:21.000Z,"Columbia, SC",,,,False,homeless,"Our [ORGANIZATION] team and their families spent DATE0 delivering turkeys and all the trimmings to two local convents, helping them serve the homeless community. 

Additionally, they hand-delivered [LOCATION] meal baskets to eight families in need! 🦃🍽️ #SEFL #LTL #trucking [URL]"
2024-11-26T17:21:05.000Z,"San Antonio, TX",,,,False,,The burglary suspect who allegedly stabbed an [ORGANIZATION] says this is what he has to do to eat. [URL] [URL]
2024-11-26T16:32:17.000Z,"Oregon, USA",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-11-26T15:46:18.000Z,"El Paso, Texas",,,,False,,"A win for my office, and one we've been working on for [ORGANIZATION]! Reducing crime and recidivism isn't just attained by policing and jailing individuals. I'm proud to lead the [STREET] in dedicating more resources to social services that truly help people.

[ORGANIZATION]"
